,dateHourMinute,adMatchedQuery,city,screenResolution,browser,operatingSystem,mobileDeviceInfo,adSlot,adMatchType,impressions,adClicks,adCost,pageviews,timeOnPage,ctr,screenResolutionDist,adMatchedQueryLenDist,hasFarmaOnQuery
3765,2019-04-17 11:21:00,varicell preço generico comprimido,Paulista,360x740,Chrome,Android,Samsung SM-J600GT Galaxy On6,Google search: Top,Broad match,1.0,1.0,0.29,1.0,288.2,1.0,x-small,medium,False
3766,2019-04-17 11:54:00,cápsulas gelatinosa de isoflavonas cápsulas 150mg,Recife,360x756,Chrome,Android,Motorola Moto G7 Play,Google search: Other,Phrase match,1.0,1.0,,2.0,14.0,1.0,x-small,long,False
3767,2019-04-17 13:01:00,oximetro de dedo pague menos,Recife,412x732,Chrome,Android,Samsung SM-J730G Galaxy J7 Pro,Google search: Top,Broad match,1.0,1.0,0.29,1.0,288.2,1.0,x-small,short,False
3768,2019-04-17 13:13:00,clean caps vende em farmacia,Recife,360x640,Chrome,Android,Samsung SM-G570M Galaxy J5 Prime,Google search: Top,Phrase match,1.0,1.0,0.29,7.0,89.0,1.0,x-small,short,True
3769,2019-04-17 13:24:00,hemorroida fotos,Paulista,360x640,Chrome,Android,Samsung SM-G532MT Galaxy J2 Prime,Search partners: Top,Phrase match,1.0,1.0,0.21,1.0,288.2,1.0,x-small,very short,False
3770,2019-04-17 14:01:00,farmacia independente,Camaragibe,360x640,Chrome,Android,Lenovo Moto G (5S) Plus,Google search: Top,Exact match,,1.0,0.25,5.0,19.0,,x-small,short,True
3771,2019-04-17 14:07:00,valor gynopac 4 farmacias olinda,Recife,375x667,Safari,iOS,Apple iPhone,Google search: Top,Broad match,1.0,1.0,0.29,1.0,288.2,1.0,x-small,short,True
3772,2019-04-17 14:10:00,acetoflux olinda,Recife,360x720,Chrome,Android,Motorola Moto Z3 Play,Google search: Other,Broad match,1.0,,,4.0,137.0,,x-small,very short,False
3773,2019-04-17 15:11:00,qual farmácia tem o remedio clenil hfa sprey,Paulista,424x753,Chrome,Android,LG LG-M320 X Power 2,Google search: Top,Broad match,1.0,1.0,0.28,7.0,43.0,1.0,x-small,medium,True
3774,2019-04-17 15:13:00,telefone de farmácia pague menos,Paulista,424x753,Chrome,Android,LG LG-M320 X Power 2,Google search: Top,Phrase match,1.0,1.0,0.16,1.0,288.2,1.0,x-small,short,True
3775,2019-04-17 15:39:00,foxis 200mg preço pague menos,Paulista,320x570,Chrome,Android,LG K130 K4,Google search: Other,Phrase match,1.0,1.0,0.14,4.0,52.0,1.0,x-small,short,False
3776,2019-04-17 16:15:00,farma delivery,Paulista,360x640,Chrome,Android,Motorola Moto G Play Moto G4 Play,Google search: Top,Exact match,1.0,1.0,0.29,3.0,25.0,1.0,x-small,very short,True
3777,2019-04-17 16:36:00,números pague menos olinda presidente kennedy,Olinda,360x640,Chrome,Android,Motorola Moto G (4) Moto G4,Google search: Top,Phrase match,1.0,1.0,0.24,5.0,131.0,1.0,x-small,medium,False
3778,2019-04-17 16:36:00,ultrafarma olinda,Olinda,320x534,Chrome,Android,Samsung SM-G3502L Galaxy Trend 3,Google search: Top,Phrase match,1.0,1.0,,5.0,140.0,1.0,x-small,very short,True
3779,2019-04-17 16:50:00,preço de magnesio na pague menos,Olinda,360x640,Chrome,Android,Lenovo Moto G (5S),Google search: Other,Phrase match,1.0,1.0,0.18,1.0,288.2,1.0,x-small,short,False
3780,2019-04-17 16:59:00,farmácia todo dia,Recife,360x640,Chrome,Android,Samsung SM-G532MT Galaxy J2 Prime,Google search: Top,Phrase match,1.0,1.0,0.18,3.0,16.0,1.0,x-small,very short,True
3781,2019-04-17 17:01:00,nas farmacia vende vigorotil,Recife,320x341,Android Browser,Android,Samsung GT-S6102B Galaxy Y Duos,Google search: Top,Phrase match,1.0,1.0,0.28,2.0,19.0,1.0,x-small,short,True
3782,2019-04-17 17:02:00,farmácia pague menos,Olinda,360x640,Chrome,Android,Motorola Moto G (4) Moto G4,Google search: Top,Phrase match,,,0.52,3.0,22.0,,x-small,short,True
3783,2019-04-17 17:04:00,farmacia independente oline,Recife,424x753,Chrome,Android,LG LG-M320 X Power 2,Google search: Top,Broad match,1.0,1.0,0.26,7.0,92.0,1.0,x-small,short,True
